,Search term,Keyword,Similarity Score,Keyword vs Account Similarity,Match Type_Broad match,Match Type_Exact match,Match Type_Phrase match,Added/Excluded
0,roof places near me,home roofers in my area,0.7224968671798706,0.7771415710449219,0,1,0,1
1,arbuckle roofing,roofing companies near me,0.5830810070037842,0.6501977443695068,1,0,0,1
2,cisco roofing,roofers near me,0.563197910785675,0.6530788540840149,1,0,0,1
3,one stop roofing,+roofing +contractor +service,0.6106734871864319,0.6732252240180969,0,0,1,1
4,acs roofing,roof installation service,0.6372247934341431,0.6638997793197632,0,0,1,1
5,meadows roofing ponca city,roofing companies near me,0.6280101537704468,0.6736279129981995,1,0,0,1
6,burggraf roofing,residential roofing company,0.545775830745697,0.6368224620819092,1,0,0,1
7,obs roofing,roof repair company,0.6048274040222168,0.691901683807373,1,0,0,1
8,southern shingles tulsa,roofing contractor in tulsa,0.5860480070114136,0.518551230430603,1,0,0,1
9,malarkeyroofing com,residential roofing company,0.1589720547199249,0.19947659969329834,1,0,0,1
10,mcbride roofing,home roofing contractor,0.602681577205658,0.71632319688797,1,0,0,1
11,extreme roofing,roofing contractor service,0.5854936838150024,0.6947221159934998,0,0,1,1
12,mcpride roofing,roofing contractor in broken arrow,0.5307195782661438,0.6837279200553894,1,0,0,1
13,tulsa home repair,roofers in tulsa,0.7272894382476807,0.5647717118263245,1,0,0,1
14,burggraf roofing tulsa roofing,roofing company service,0.5780695676803589,0.6714236736297607,0,0,1,1
15,roofs r us construction,roofing contractor service,0.6723018884658813,0.778812050819397,0,0,1,1
16,rocker roofing,roof repair contractor,0.5639055967330933,0.655462384223938,1,0,0,1
17,bwc roofing,roofing companies near me,0.6092034578323364,0.6932598948478699,0,0,1,1
18,done right roofing,roof replacement company,0.5051008462905884,0.6790485382080078,0,0,1,1
19,dunn right roofing,roofing company in my area,0.6202535033226013,0.6845400929450989,1,0,0,1
20,shingles for roof,residential roofing company,0.5567022562026978,0.6327620148658752,1,0,0,1
21,absolute roofing,residential roofing company,0.5299581289291382,0.6468449831008911,1,0,0,1
22,roofing with thomas,roof replacement company,0.5055585503578186,0.6507064700126648,0,0,1,1
23,billings roofing,roofing company service,0.6509995460510254,0.738693118095398,0,0,1,1
24,shingles roof,residential roofing company,0.584669828414917,0.7211104035377502,1,0,0,1
25,teepee roofing,roofers in tulsa,0.5335765480995178,0.6449413895606995,1,0,0,1
26,all out roofing,home roofing contractor,0.6634563207626343,0.7407278418540955,1,0,0,1
27,destiny roofing,roofing contractor service,0.6137638688087463,0.6989917755126953,0,0,1,1
28,tarping a roof,roofing company in my area,0.5022540092468262,0.5625889301300049,1,0,0,1
29,roughneck roofing,roof installation company,0.5521134734153748,0.6191438436508179,0,0,1,1
30,h&m roofing,roofing companies near me,0.7412458658218384,0.7977677583694458,1,0,0,1
31,attic insulation cost,attic insulation estimate,0.8437888026237488,0.42315980792045593,0,1,0,1
32,blow in insulation cost,blown in insulation installation,0.5450302362442017,0.3338462710380554,0,0,1,1
33,coates roofing,roof repair services,0.6782113313674927,0.7328177690505981,1,0,0,1
34,calvin and sons roofing tahlequah ok,+roofing +contractor +service,0.5420336127281189,0.6735891103744507,0,0,1,1
35,burggraf roofing commercial roofing contractor tulsa,commercial roof repair,0.5857113003730774,0.7322365045547485,0,0,1,1
36,commercial roofers,commercial roofers,1.0,0.879948616027832,0,1,0,0
37,blow in insulation,blow in insulation,1.0000001192092896,0.2610916793346405,0,1,0,0
38,blow in insulation for walls,blow in insulation,0.87781822681427,0.27760937809944153,0,1,0,1
39,attic repair,attic insulation service,0.6898255944252014,0.6333817839622498,1,0,0,1
40,cost to insulate attic,attic insulation quote,0.7148739099502563,0.3795585036277771,0,1,0,1
41,attic insulation installers near me,attic insulation installers near me,1.0000001192092896,0.6157931089401245,0,1,0,0
42,attic renovation contractors,attic insulation service,0.643675684928894,0.7227081656455994,1,0,0,1
43,blown in insulation cost,blown in attic insulation,0.680692195892334,0.36037421226501465,0,0,1,1
44,spectrum roofing,roofing companies near me,0.6340367794036865,0.6627374887466431,0,0,1,1
45,meadows roofing ponca city,best roof installers,0.4943390190601349,0.6736279129981995,0,0,1,1
46,dan's roofing tulsa,roofing company in tulsa ok,0.8344557285308838,0.7079590559005737,0,0,1,1
47,roofing crew,home roofing contractor,0.7078086733818054,0.7707016468048096,1,0,0,1
48,ab roofing,roof repair services,0.5357093214988708,0.5847979784011841,1,0,0,1
49,chosen roofing,residential roofing contractor,0.5964952111244202,0.7159850597381592,1,0,0,1
