,Search term,Keyword,Added/Excluded,Similarity Score,Match Type_Broad match,Match Type_Exact match,Match Type_Phrase match
0,roof places near me,home roofers in my area,1,0.7224968671798706,0,1,0
1,arbuckle roofing,roofing companies near me,1,0.5830810070037842,1,0,0
2,cisco roofing,roofers near me,1,0.563197910785675,1,0,0
3,one stop roofing,+roofing +contractor +service,1,0.6106734871864319,0,0,1
4,acs roofing,roof installation service,1,0.6372247934341431,0,0,1
5,meadows roofing ponca city,roofing companies near me,1,0.6280101537704468,1,0,0
6,burggraf roofing,residential roofing company,1,0.545775830745697,1,0,0
7,obs roofing,roof repair company,1,0.6048274040222168,1,0,0
8,southern shingles tulsa,roofing contractor in tulsa,1,0.5860480070114136,1,0,0
9,malarkeyroofing com,residential roofing company,1,0.15897205471992493,1,0,0
10,mcbride roofing,home roofing contractor,1,0.602681577205658,1,0,0
11,extreme roofing,roofing contractor service,1,0.5854936838150024,0,0,1
12,mcpride roofing,roofing contractor in broken arrow,1,0.5307195782661438,1,0,0
13,tulsa home repair,roofers in tulsa,1,0.7272894382476807,1,0,0
14,burggraf roofing tulsa roofing,roofing company service,1,0.5780695676803589,0,0,1
15,roofs r us construction,roofing contractor service,1,0.6723018884658813,0,0,1
16,rocker roofing,roof repair contractor,1,0.5639055967330933,1,0,0
17,bwc roofing,roofing companies near me,1,0.6092034578323364,0,0,1
18,done right roofing,roof replacement company,1,0.5051008462905884,0,0,1
19,dunn right roofing,roofing company in my area,1,0.6202535033226013,1,0,0
20,shingles for roof,residential roofing company,1,0.5567022562026978,1,0,0
21,absolute roofing,residential roofing company,1,0.5299581289291382,1,0,0
22,roofing with thomas,roof replacement company,1,0.5055585503578186,0,0,1
23,billings roofing,roofing company service,1,0.6509995460510254,0,0,1
24,shingles roof,residential roofing company,1,0.584669828414917,1,0,0
25,teepee roofing,roofers in tulsa,1,0.5335765480995178,1,0,0
26,all out roofing,home roofing contractor,1,0.6634563207626343,1,0,0
27,destiny roofing,roofing contractor service,1,0.6137638688087463,0,0,1
28,tarping a roof,roofing company in my area,1,0.5022540092468262,1,0,0
29,roughneck roofing,roof installation company,1,0.5521134734153748,0,0,1
30,h&m roofing,roofing companies near me,1,0.7412458658218384,1,0,0
31,attic insulation cost,attic insulation estimate,1,0.8437888026237488,0,1,0
32,blow in insulation cost,blown in insulation installation,1,0.5450302362442017,0,0,1
33,coates roofing,roof repair services,1,0.6782113313674927,1,0,0
34,calvin and sons roofing tahlequah ok,+roofing +contractor +service,1,0.5420336127281189,0,0,1
35,burggraf roofing commercial roofing contractor tulsa,commercial roof repair,1,0.5857113003730774,0,0,1
36,commercial roofers,commercial roofers,0,1.0,0,1,0
37,blow in insulation,blow in insulation,0,1.0000001192092896,0,1,0
38,blow in insulation for walls,blow in insulation,1,0.87781822681427,0,1,0
39,attic repair,attic insulation service,1,0.6898255944252014,1,0,0
40,cost to insulate attic,attic insulation quote,1,0.7148739099502563,0,1,0
41,attic insulation installers near me,attic insulation installers near me,0,1.0000001192092896,0,1,0
42,attic renovation contractors,attic insulation service,1,0.643675684928894,1,0,0
43,blown in insulation cost,blown in attic insulation,1,0.680692195892334,0,0,1
44,spectrum roofing,roofing companies near me,1,0.6340367794036865,0,0,1
45,meadows roofing ponca city,best roof installers,1,0.4943390190601349,0,0,1
46,dan's roofing tulsa,roofing company in tulsa ok,1,0.8344557285308838,0,0,1
47,roofing crew,home roofing contractor,1,0.7078086733818054,1,0,0
48,ab roofing,roof repair services,1,0.5357093214988708,1,0,0
49,chosen roofing,residential roofing contractor,1,0.5964952111244202,1,0,0
50,ondura roofing,commercial flat roof replacement,1,0.5489612221717834,1,0,0
51,conklin roofing,commercial roofing company,1,0.5756720304489136,0,0,1
